feature
median_flux
FLUX.2347
FLUX.2384
FLUX.1889
autocorr_1
FLUX.1888
FLUX.2348
rolling_min_25
rolling_std_50
rolling_min_10
FLUX.2438
rolling_max_5
FLUX.462
rolling_range_10
FLUX.2561
FLUX.2372
num_spectral_peaks
FLUX.1430
rolling_std_25
q95_flux
FLUX.772
FLUX.2472
FLUX.2550
FLUX.2639
FLUX.17
FLUX.310
FLUX.2651
q75_flux
FLUX.2549
rolling_min_100
FLUX.1431
FLUX.1035
FLUX.2346
FLUX.1306
min_flux
FLUX.1283
FLUX.15
FLUX.1097
FLUX.1282
FLUX.95
FLUX.1432
FLUX.1098
FLUX.1508
FLUX.2672
FLUX.1499
FLUX.2972
rolling_max_10
FLUX.1385
FLUX.2936
FLUX.2713
FLUX.2345
FLUX.2344
FLUX.1120
FLUX.1391
rolling_range_25
FLUX.2538
FLUX.2588
FLUX.2682
FLUX.2027
FLUX.1523
FLUX.2636
FLUX.1119
FLUX.2655
FLUX.1891
FLUX.1398
FLUX.1616
FLUX.1132
rolling_min_5
spectral_rolloff
FLUX.1887
FLUX.1510
FLUX.712
FLUX.936
FLUX.96
FLUX.2474
FLUX.2477
FLUX.1387
FLUX.1855
var_flux
FLUX.911
FLUX.2776
FLUX.1959
FLUX.1118
FLUX.2735
FLUX.2388
FLUX.1055
FLUX.908
FLUX.2383
FLUX.2744
FLUX.927
FLUX.933
FLUX.1349
FLUX.2577
FLUX.1509
FLUX.94
FLUX.1331
FLUX.3191
FLUX.2959
FLUX.186
FLUX.2840
rolling_range_5
skewness
FLUX.2417
FLUX.1016
FLUX.847
FLUX.1040
FLUX.752
FLUX.2099
FLUX.2491
FLUX.1435
FLUX.2420
FLUX.1772
FLUX.2638
FLUX.2574
FLUX.2653
FLUX.2775
FLUX.1179
FLUX.1689
FLUX.2180
FLUX.2462
FLUX.1123
FLUX.2970
FLUX.2798
rolling_mean_100
FLUX.469
FLUX.2432
FLUX.1305
FLUX.2800
FLUX.2480
FLUX.1470
FLUX.1845
FLUX.1528
FLUX.2367
FLUX.3013
FLUX.1068
FLUX.1482
FLUX.3055
FLUX.2813
FLUX.98
FLUX.1128
FLUX.2710
FLUX.1945
FLUX.2666
FLUX.2999
FLUX.2848
FLUX.1038
FLUX.748
FLUX.2375
FLUX.1484
FLUX.716
FLUX.2734
FLUX.996
FLUX.1034
FLUX.1957
FLUX.2492
FLUX.2500
zero_crossings
FLUX.2098
FLUX.1288
FLUX.1052
FLUX.1421
FLUX.2465
FLUX.2733
max_dip
FLUX.2328
FLUX.1613
FLUX.2562
FLUX.2641
FLUX.1507
FLUX.2451
FLUX.1148
FLUX.1612
FLUX.1281
total_variation
FLUX.1777
FLUX.1814
FLUX.1110
FLUX.2637
FLUX.2754
FLUX.2654
FLUX.1340
FLUX.2874
FLUX.1275
FLUX.2482
FLUX.187
FLUX.1383
FLUX.1393
FLUX.715
FLUX.38
FLUX.886
FLUX.2540
FLUX.1453
FLUX.672
FLUX.2237
FLUX.710
FLUX.1947
FLUX.967
FLUX.2286
FLUX.932
FLUX.2569
